group,n,mae,rmse
"('Accounts', 'Analyst', 'Assistant Manager', 'Doctorate')",5,1392343.29,1653623.46
"('Accounts', 'Analyst', 'Assistant Manager', 'Under Grad')",2,176712.16,237467.02
"('Accounts', 'Analyst', 'CA', 'Grad')",1,667.2,667.2
"('Accounts', 'Analyst', 'CA', 'PG')",1,66172.1,66172.1
"('Accounts', 'Analyst', 'CA', 'Under Grad')",2,564950.79,710611.97
"('Accounts', 'Analyst', 'Consultant', 'Doctorate')",1,278488.27,278488.27
"('Accounts', 'Analyst', 'Consultant', 'PG')",3,351928.9,588748.52
"('Accounts', 'Analyst', 'Consultant', 'Under Grad')",2,920024.71,929349.6
"('Accounts', 'Analyst', 'Data Analyst', 'PG')",2,12931.2,15079.87
"('Accounts', 'Analyst', 'Data Analyst', 'Under Grad')",2,351604.51,356742.75
"('Accounts', 'Analyst', 'Director', 'Doctorate')",1,45041.35,45041.35
"('Accounts', 'Analyst', 'Director', 'Grad')",1,324669.35,324669.35
"('Accounts', 'Analyst', 'Director', 'PG')",1,29043.8,29043.8
"('Accounts', 'Analyst', 'Director', 'Under Grad')",1,399064.35,399064.35
"('Accounts', 'Analyst', 'HR', 'Doctorate')",2,21698.0,22106.85
"('Accounts', 'Analyst', 'HR', 'Grad')",6,160463.67,324383.45
"('Accounts', 'Analyst', 'HR', 'PG')",4,265677.65,508789.73
"('Accounts', 'Analyst', 'HR', 'Under Grad')",1,1238311.92,1238311.92
"('Accounts', 'Analyst', 'Manager', 'Doctorate')",2,53596.66,63841.18
"('Accounts', 'Analyst', 'Manager', 'Grad')",2,41463.4,41508.27
"('Accounts', 'Analyst', 'Manager', 'PG')",1,61918.5,61918.5
"('Accounts', 'Analyst', 'Manager', 'Under Grad')",1,9999.9,9999.9
"('Accounts', 'Analyst', 'Marketing Manager', 'Doctorate')",2,565623.5,768498.06
"('Accounts', 'Analyst', 'Marketing Manager', 'Grad')",3,76911.1,84466.96
"('Accounts', 'Analyst', 'Marketing Manager', 'PG')",2,14436.05,14438.05
"('Accounts', 'Analyst', 'Network Engineer', 'Doctorate')",1,2280315.21,2280315.21
"('Accounts', 'Analyst', 'Network Engineer', 'Grad')",1,8171.0,8171.0
"('Accounts', 'Analyst', 'Network Engineer', 'PG')",3,324833.8,526332.73
"('Accounts', 'Analyst', 'Others', 'Doctorate')",1,946474.22,946474.22
"('Accounts', 'Analyst', 'Others', 'PG')",2,86388.5,88363.81
"('Accounts', 'Analyst', 'Others', 'Under Grad')",1,16791.22,16791.22
"('Accounts', 'Analyst', 'Research Analyst', 'Grad')",2,21035.85,21202.07
"('Accounts', 'Analyst', 'Research Analyst', 'PG')",1,58905.2,58905.2
"('Accounts', 'Analyst', 'Research Analyst', 'Under Grad')",2,866592.71,872966.81
"('Accounts', 'Analyst', 'Software Developer', 'Doctorate')",5,887218.25,1229801.03
"('Accounts', 'Analyst', 'Software Developer', 'Grad')",2,32125.05,40106.66
"('Accounts', 'Analyst', 'Software Developer', 'PG')",3,439140.79,691052.67
"('Accounts', 'Analyst', 'Software Developer', 'Under Grad')",3,168905.84,278869.36
"('Accounts', 'Analyst', 'Sr.Manager', 'Doctorate')",1,526535.13,526535.13
"('Accounts', 'Analyst', 'Sr.Manager', 'Grad')",5,272052.92,454680.84
"('Accounts', 'Analyst', 'Sr.Manager', 'PG')",1,2952.1,2952.1
"('Accounts', 'Analyst', 'Sr.Manager', 'Under Grad')",1,1120135.4,1120135.4
"('Accounts', 'Analyst', 'Web Designer', 'Grad')",3,24195.04,35967.79
"('Accounts', 'Analyst', 'Web Designer', 'PG')",1,11700.5,11700.5
"('Accounts', 'Analyst', 'Web Designer', 'Under Grad')",2,484208.06,669879.64
"('Accounts', 'Associate', 'Assistant Manager', 'Doctorate')",3,560900.96,705679.7
"('Accounts', 'Associate', 'Assistant Manager', 'PG')",1,824645.34,824645.34
"('Accounts', 'Associate', 'CA', 'Doctorate')",1,9917.0,9917.0
"('Accounts', 'Associate', 'CA', 'Under Grad')",1,1097756.0,1097756.0
"('Accounts', 'Associate', 'Consultant', 'Grad')",3,928990.05,937290.32
"('Accounts', 'Associate', 'Data Analyst', 'Grad')",1,1111119.93,1111119.93
"('Accounts', 'Associate', 'Data Analyst', 'Under Grad')",2,1254169.43,1255086.23
"('Accounts', 'Associate', 'Director', 'Doctorate')",2,503745.93,681938.64
"('Accounts', 'Associate', 'Director', 'PG')",1,1372312.35,1372312.35
"('Accounts', 'Associate', 'HR', 'Doctorate')",1,29933.2,29933.2
"('Accounts', 'Associate', 'Manager', 'Doctorate')",1,1211576.67,1211576.67
"('Accounts', 'Associate', 'Manager', 'Grad')",1,885300.67,885300.67
"('Accounts', 'Associate', 'Manager', 'PG')",1,1205538.67,1205538.67
"('Accounts', 'Associate', 'Manager', 'Under Grad')",2,907693.67,909525.82
"('Accounts', 'Associate', 'Marketing Manager', 'Doctorate')",2,209258.55,253409.37
"('Accounts', 'Associate', 'Marketing Manager', 'PG')",1,1144260.2,1144260.2
"('Accounts', 'Associate', 'Marketing Manager', 'Under Grad')",2,1103262.7,1109692.36
"('Accounts', 'Associate', 'Network Engineer', 'Grad')",1,953096.6,953096.6
"('Accounts', 'Associate', 'Others', 'Grad')",1,1087231.22,1087231.22
"('Accounts', 'Associate', 'Others', 'PG')",1,1192443.22,1192443.22
"('Accounts', 'Associate', 'Others', 'Under Grad')",1,1128845.22,1128845.22
"('Accounts', 'Associate', 'Product Manager', 'PG')",1,1059359.18,1059359.18
